id,name,type,location,startDate,endDate,website,hostingTeams
"84859","2016 WFTDA Division 1 Playoff 4 Madison","Seeded Bracket","Madison, WI","2016-09-23","2016-09-25","https://wftda.com/tournaments/2016/madison","3425"
"84844","2016 WFTDA Division 2 Playoff 1 Wichita","Seeded Bracket","Wichita, KS","2016-08-19","2016-08-21","https://wftda.com/tournaments/2016/wichita","3627"
"84847","2016 WFTDA Division 2 Playoff 2 Lansing","Seeded Bracket","Lansing, MI","2016-08-26","2016-08-28","https://wftda.com/tournaments/2016/lansing","15020"
"82257","2016 Wheels of Steel Men's Roller Derby Tournament","Invitational","Murrysville, PA","2016-06-10","2016-06-12","https://www.facebook.com/events/962069473891575/","39031"
"68599","2016 Wild West Showdown","Invitational","Bremerton, WA","2016-03-04","2016-03-06","http://www.wildwestshowdown.org/","3451"
"78073","2016 Winter Wipeout","Seeded Bracket","Mount Forest, Ontario, Canada","2016-04-16","2016-04-16","","27573"
"83501","2016 Wyoming Roller Derby Cup","Invitational","Cody, WY","2016-07-16","2016-07-17","https://www.facebook.com/WyoRDC/",""
"87884","2016 Ykkösdivisioona","Invitational","Finland","2016-01-01","2016-12-31","http://www.rollerderbyfinland.com/suomi-cup/otteluohjelma/ykkosdivisioona-2016/",""
"86042","2016-17 French Championship: Elite","Invitational","France","2016-12-10","2017-06-11","",""
"92577","2016-17 French Championship: Mens' Finals","Invitational","Toulouse, France","2017-05-06","2017-05-08","https://www.facebook.com/events/183438915507655/","17627"
"89601","2016-17 French Championship: Mens' Qualifiers","Invitational","France","2017-02-11","2017-02-19","",""
"86043","2016-17 French Championship: Nationale 1","Invitational","France","2016-11-26","2017-06-05","",""
"86044","2016-17 French Championship: Nationale 2","Invitational","France","2016-10-29","2017-06-05","",""
"88014","2016-17 Seriespel Div 1","Invitational","Sweden","2016-11-19","2017-04-22","http://www.skridsko.se/Arbetsrumslista/RollerDerby/TavlingochNatverk/SMochSeriespel","76763,11065,18107,18110"
