id,name,shortName,abbreviation,teamType,location,website,parentLeague,establishedDate,disbandedDate,genus,domain
"17657","Cocked Tails","","","Exhibition Team","","","","2012-04-21","","Mens","Europe"
"23879","Cockpit Candies","","","Home Team","","","4744","","2009-12-31","Womens","USA"
"7385","Code Blue Assassins","","","B Team","","","3455","","","Womens","USA"
"109594","CoDead Derby","CoDead Derby","CDD","Travel Team","Port Orchard, WA, USA","https://www.facebook.com/CoDeadDerby/","","2012-10-27","","Coed","USA"
"18705","Coeur d’Alene Roller Derby","Coeur d’Alene","CDARD","Travel Team","Couer d'Alene, ID","https://www.cdarollerderby.com/","","2010-06-01","","Womens","USA"
"25355","Coffin County Slaughter Kittens","Coffin County","CCSK","Travel Team","Kelso, WA","https://www.facebook.com/SlaughterKittens/info","","","2013-01-01","Womens","USA"
"63694","Coffs Coast Derby (Mens)","Coffs Mens","CCD","Travel Team","Coffs Harbour, Australia","","","","","Mens","Australia"
"24541","Coffs Coast Derby Dolls","Coffs Coast","CCDD","Travel Team","Coffs Harbour, NSW, Australia","http://www.coffscoastderbydolls.com/","","2010-06-30","","Womens","Australia"
"23771","Cog Blockers","","","Home Team","","","3464","","","Womens","USA"
"39962","Cold'n Heart Junior Derby","Cold'n Heart","CHJD","Travel Team","Fairbanks, AK","http://www.coldnheartjrderby.org/","","2012-08-26","","Junior","USA"
"10422","Collision Roller Derby","Collision","CRD","Travel Team","Raleigh, NC","http://www.collisionmensderby.com/","","2011-01-01","","Mens","USA"
"106112","Colmena Roller Derby","Colmena","CRD","Travel Team","Buenos Aires, Buenos Aires, Argentina","https://www.facebook.com/colmenarollerderby/","","2018-06-21","","Womens","South America"
"11055","Cologne Roller Derby","Cologne","CRD","Travel Team","Cologne, Germany","http://www.colognerollerderby.com/","","","","Womens","Europe"
"78509","Colombia Men's Roller Derby","","","Exhibition Team","","https://www.facebook.com/teamcolombiamensrollerderby/?fref=ts","","","","Mens","South America"
